text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
If Congress refuse to listen to and grant what women ask there is but one course left then to… https://t.co/HNitN3V8iZ,11/9/2016 4:53,40.85417975,-73.9153867,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.9153867, 40.85417975], 'type': 'Point'}","Brooklyn, NY",0.037452656,negative,Anger,Election
"What has been seen cannot be unseen
-C.A. Woolf

👉🏾GO-FUCKIN' #VOTE 🇺🇸
#Election2016… https://t.co/34CAKR7RhO",11/9/2016 4:37,33.46889822,-112.093793,"Place(name='Phoenix', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json', full_name='Phoenix, AZ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]], type='Polygon'), contained_within=[], id='5c62ffb0f0f3479d')","{'coordinates': [-112.09379298, 33.46889822], 'type': 'Point'}",Phoenix,2.315120175,positive,Anger,Election
When a Republican and Democrat can play together... ❤️💙🇺🇸 😂🏋🏼 #electiondayworkouts @ ODP Fitness https://t.co/y7fy2lvqS4,11/9/2016 4:37,40.7968375,-73.9436513,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-73.9436513, 40.7968375], 'type': 'Point'}",East Harlem,38.67188361,positive,Anger,Election
Your vote is not a joke...stand up and fight for the future lady Gaga #Election2016 #Votehot @… https://t.co/DscsdHpMpw,11/9/2016 4:33,47.61514389,-122.3278253,"Place(name='Seattle', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/300bcc6e23a88361.json', full_name='Seattle, WA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]], type='Polygon'), contained_within=[], id='300bcc6e23a88361')","{'coordinates': [-122.3278253, 47.61514389], 'type': 'Point'}",chicago/seattle,0.641766127,negative,Anger,Hillary
#election2016 #boca #voteforpedro @ Southwinds Golf Course https://t.co/ABXkBuCeGa,11/8/2016 19:09,32.22254851,-110.9706794,"Place(name='Tucson', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/013379ee5729a5e6.json', full_name='Tucson, AZ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]], type='Polygon'), contained_within=[], id='013379ee5729a5e6')","{'coordinates': [-110.97067938, 32.22254851], 'type': 'Point'}","Tucson, AZ",0.108836579,negative,Anger,Election
#election2016 #hampden has 3 precincts &amp; 50 different lines. #cluster @ Hampden Elementary School https://t.co/t4rNsNMTFS,11/8/2016 17:33,41.09155823,-73.92117471,"Place(name='Nyack', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/41161b11ee419444.json', full_name='Nyack, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.93834, 41.086552], [-73.913934, 41.086552], [-73.913934, 41.10109], [-73.93834, 41.10109]]], type='Polygon'), contained_within=[], id='41161b11ee419444')","{'coordinates': [-73.92117471, 41.09155823], 'type': 'Point'}",,0.108836579,negative,Anger,Election
#election2016 #imwithher #IVoted @ Williamsburg Middle https://t.co/2Cw0BS2Xqn,11/8/2016 17:13,39.9419,-82.9928,"Place(name='Columbus', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3df0e3eb1e91170b.json', full_name='Columbus, OH', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]], type='Polygon'), contained_within=[], id='3df0e3eb1e91170b')","{'coordinates': [-82.9928, 39.9419], 'type': 'Point'}",On the banks of the Olentangy,0.108836579,negative,Anger,Hillary
#election2016 #pleasevote #ivoted @ L Train https://t.co/UMNqXjqHDB,11/8/2016 17:09,40.4263355,-86.91243174,"Place(name='West Lafayette', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/832ac0728b3e26ac.json', full_name='West Lafayette, IN', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-86.999431, 40.406761], [-86.86053, 40.406761], [-86.86053, 40.511402], [-86.999431, 40.511402]]], type='Polygon'), contained_within=[], id='832ac0728b3e26ac')","{'coordinates': [-86.91243174, 40.4263355], 'type': 'Point'}","West Lafayette, IN",0.108836579,negative,Anger,Election
#election2016 #voting #imwithher @ Shenandoah Street Elementary https://t.co/UKphPfk822,11/8/2016 17:03,26.43371,-81.7886,"Place(name='Estero', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/47d6c4ee241dfc33.json', full_name='Estero, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-81.840335, 26.389186], [-81.754749, 26.389186], [-81.754749, 26.4569821], [-81.840335, 26.4569821]]], type='Polygon'), contained_within=[], id='47d6c4ee241dfc33')","{'coordinates': [-81.7886, 26.43371], 'type': 'Point'}",paradise☀️,0.108836579,negative,Anger,Hillary
#election2016 @ 3 Crow Bar https://t.co/SDRac42SD6,11/8/2016 21:44,25.7877,-80.2241,"Place(name='Miami', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/04cb31bae3b3af93.json', full_name='Miami, FL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.321683, 25.7090404], [-80.144974, 25.7090404], [-80.144974, 25.855667], [-80.321683, 25.855667]]], type='Polygon'), contained_within=[], id='04cb31bae3b3af93')","{'coordinates': [-80.2241, 25.7877], 'type': 'Point'}","Miami, FL",0.0394382,negative,Anger,Election
